industry,job_title,level,years_of_experience,skills,certifications,ai_training_corpus
Cloud Engineering,Cloud Engineer,Entry,2,"['CI/CD', 'Grafana', 'Jenkins', 'Ansible', 'Terraform']",[],"Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: CI/CD, Grafana, Jenkins, Ansible, Terraform. Key Skills: CI/CD, Grafana, Jenkins, Ansible, Terraform. Key Skills: CI/CD, Grafana, Jenkins, Ansible, Terraform. "
Cybersecurity,Security Analyst,Mid-Level,4,"['Intrusion Detection', 'Firewalls', 'SIEM', 'Ethical Hacking', 'ISO 27001', 'Network Security']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 4 years. Key Skills: Intrusion Detection, Firewalls, SIEM, Ethical Hacking, ISO 27001, Network Security. Key Skills: Intrusion Detection, Firewalls, SIEM, Ethical Hacking, ISO 27001, Network Security. Key Skills: Intrusion Detection, Firewalls, SIEM, Ethical Hacking, ISO 27001, Network Security. "
Cloud Engineering,DevOps Engineer,Mid-Level,4,"['CI/CD', 'Azure', 'Terraform', 'Jenkins', 'GCP']","['Certified Kubernetes Administrator (CKA)', 'Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect', 'Google Certified Professional Cloud Architect']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 4 years. Key Skills: CI/CD, Azure, Terraform, Jenkins, GCP. Key Skills: CI/CD, Azure, Terraform, Jenkins, GCP. Key Skills: CI/CD, Azure, Terraform, Jenkins, GCP. Relevant Certifications: Certified Kubernetes Administrator (CKA), Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect, Google Certified Professional Cloud Architect. "
Data Science,Data Scientist,Mid-Level,3,"['Statistics', 'Big Data', 'TensorFlow', 'Pandas', 'SQL', 'Data Mining', 'Spark', 'NumPy']",[],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Mid-Level Career Level: Mid-Level Industry: Data Science Industry: Data Science Years of Experience: approximately 3 years. Key Skills: Statistics, Big Data, TensorFlow, Pandas, SQL, Data Mining, Spark, NumPy. Key Skills: Statistics, Big Data, TensorFlow, Pandas, SQL, Data Mining, Spark, NumPy. Key Skills: Statistics, Big Data, TensorFlow, Pandas, SQL, Data Mining, Spark, NumPy. "
Software Engineering,Software Engineer,Mid-Level,2,"['PostgreSQL', 'MongoDB', 'JavaScript', 'Docker']","['Certified Kubernetes Application Developer (CKAD)', 'AWS Certified Developer']","Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 2 years. Key Skills: PostgreSQL, MongoDB, JavaScript, Docker. Key Skills: PostgreSQL, MongoDB, JavaScript, Docker. Key Skills: PostgreSQL, MongoDB, JavaScript, Docker. Relevant Certifications: Certified Kubernetes Application Developer (CKAD), AWS Certified Developer. "
Cloud Engineering,Cloud Architect,Entry,0,"['CI/CD', 'Azure', 'Terraform', 'AWS', 'Grafana', 'Docker', 'Jenkins']","['Google Certified Professional Cloud Architect', 'AWS Certified Solutions Architect']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: CI/CD, Azure, Terraform, AWS, Grafana, Docker, Jenkins. Key Skills: CI/CD, Azure, Terraform, AWS, Grafana, Docker, Jenkins. Key Skills: CI/CD, Azure, Terraform, AWS, Grafana, Docker, Jenkins. Relevant Certifications: Google Certified Professional Cloud Architect, AWS Certified Solutions Architect. "
Product Management,Director of Product,Mid-Level,2,"['User Research', 'Roadmapping', 'Product Strategy', 'Agile', 'Scrum']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Mid-Level Career Level: Mid-Level Industry: Product Management Industry: Product Management Years of Experience: approximately 2 years. Key Skills: User Research, Roadmapping, Product Strategy, Agile, Scrum. Key Skills: User Research, Roadmapping, Product Strategy, Agile, Scrum. Key Skills: User Research, Roadmapping, Product Strategy, Agile, Scrum. "
Product Management,Senior Product Manager,Senior,7,"['JIRA', 'Product Strategy', 'Roadmapping', 'User Research']",['Pragmatic Marketing Certified (PMC)'],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: JIRA, Product Strategy, Roadmapping, User Research. Key Skills: JIRA, Product Strategy, Roadmapping, User Research. Key Skills: JIRA, Product Strategy, Roadmapping, User Research. Relevant Certifications: Pragmatic Marketing Certified (PMC). "
Product Management,Group Product Manager,Manager,20,"['Agile', 'Product Strategy', 'Scrum', 'Market Analysis', 'A/B Testing', 'JIRA', 'User Research', 'Roadmapping']",[],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 20 years. Key Skills: Agile, Product Strategy, Scrum, Market Analysis, A/B Testing, JIRA, User Research, Roadmapping. Key Skills: Agile, Product Strategy, Scrum, Market Analysis, A/B Testing, JIRA, User Research, Roadmapping. Key Skills: Agile, Product Strategy, Scrum, Market Analysis, A/B Testing, JIRA, User Research, Roadmapping. "
Cybersecurity,Cybersecurity Consultant,Entry,2,"['Ethical Hacking', 'Malware Analysis', 'ISO 27001', 'Firewalls']","['Certified Information Systems Security Professional (CISSP)', 'CompTIA Security+', 'Certified Ethical Hacker (CEH)']","Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Ethical Hacking, Malware Analysis, ISO 27001, Firewalls. Key Skills: Ethical Hacking, Malware Analysis, ISO 27001, Firewalls. Key Skills: Ethical Hacking, Malware Analysis, ISO 27001, Firewalls. Relevant Certifications: Certified Information Systems Security Professional (CISSP), CompTIA Security+, Certified Ethical Hacker (CEH). "
