skill_id,skill_name,category,subcategory,difficulty,related_skills,demand_score,skill_text,skill_tokens_lemmas
SK_00001,cryptography,security,general,advanced,,6.34,cryptography security general advanced,cryptography security general advance
SK_00002,iso 27001,security,general,advanced,,6.18,iso 27001 security general advanced,iso 27001 security general advance
SK_00003,authorization,web backend,general,advanced,,6.04,authorization web backend general advanced,authorization web backend general advance
SK_00004,gitlab ci,cloud & infrastructure,general,beginner,,7.0,gitlab ci cloud & infrastructure general beginner,gitlab ci cloud infrastructure general beginner
SK_00005,react,web frontend,general,intermediate,,9.19,react web frontend general intermediate,react web frontend general intermediate
SK_00006,nlp,ai/ml,general,advanced,,7.06,nlp ai/ml general advanced,nlp ai ml general advance
SK_00007,database management,cloud & infrastructure,general,advanced,,6.51,database management cloud & infrastructure general advanced,database management cloud infrastructure general advance
SK_00008,apache flink,data,general,advanced,,7.78,apache flink data general advanced,apache flink data general advance
SK_00009,pytorch,ai/ml,general,advanced,,7.88,pytorch ai/ml general advanced,pytorch ai ml general advance
SK_00010,performance optimization,web frontend,general,advanced,,6.01,performance optimization web frontend general advanced,performance optimization web frontend general advance
SK_00011,docker,cloud & infrastructure,general,advanced,,8.67,docker cloud & infrastructure general advanced,docker cloud infrastructure general advance
SK_00012,adaptability,soft skills,general,advanced,,6.91,adaptability soft skills general advanced,adaptability soft skill general advanced
SK_00013,microservices,web backend,general,advanced,,7.02,microservices web backend general advanced,microservices web backend general advance
SK_00014,team collaboration,soft skills,general,advanced,,6.14,team collaboration soft skills general advanced,team collaboration soft skill general advanced
SK_00015,stream processing,data,general,advanced,,7.82,stream processing data general advanced,stream processing datum general advance
SK_00016,observability,cloud & infrastructure,general,advanced,,7.2,observability cloud & infrastructure general advanced,observability cloud infrastructure general advance
SK_00017,security compliance,security,general,advanced,,6.63,security compliance security general advanced,security compliance security general advance
SK_00018,mentoring,soft skills,general,advanced,,6.5,mentoring soft skills general advanced,mentor soft skill general advanced
SK_00019,tensorflow,ai/ml,general,advanced,,9.5,tensorflow ai/ml general advanced,tensorflow ai ml general advance
SK_00020,hadoop,data,general,advanced,,6.8,hadoop data general advanced,hadoop datum general advance
SK_00021,angular,web frontend,general,advanced,,7.73,angular web frontend general advanced,angular web frontend general advance
SK_00022,monitoring,cloud & infrastructure,general,advanced,,7.66,monitoring cloud & infrastructure general advanced,monitor cloud infrastructure general advance
SK_00023,express,web backend,general,advanced,,6.22,express web backend general advanced,express web backend general advance
SK_00024,vite,web frontend,general,advanced,,7.96,vite web frontend general advanced,vite web frontend general advance
SK_00025,service mesh,devops,general,advanced,,6.43,service mesh devops general advanced,service mesh devops general advance
SK_00026,kubernetes,cloud & infrastructure,general,advanced,,9.42,kubernetes cloud & infrastructure general advanced,kubernetes cloud infrastructure general advance
SK_00027,communication,soft skills,general,advanced,,7.46,communication soft skills general advanced,communication soft skill general advanced
SK_00028,deep learning,ai/ml,general,advanced,,6.94,deep learning ai/ml general advanced,deep learning ai ml general advance
SK_00029,authentication,web backend,general,advanced,,7.27,authentication web backend general advanced,authentication web backend general advance
SK_00030,elasticsearch,web backend,general,advanced,,6.49,elasticsearch web backend general advanced,elasticsearch web backend general advance
SK_00031,security architecture,security,general,advanced,,7.59,security architecture security general advanced,security architecture security general advance
SK_00032,linux,devops,general,advanced,,6.48,linux devops general advanced,linux devops general advance
SK_00033,mysql,web backend,general,intermediate,,6.55,mysql web backend general intermediate,mysql web backend general intermediate
SK_00034,web accessibility,web frontend,general,advanced,,6.05,web accessibility web frontend general advanced,web accessibility web frontend general advance
SK_00035,llm,ai/ml,general,advanced,,6.42,llm ai/ml general advanced,llm ai ml general advance
SK_00036,zustand,web frontend,general,advanced,,7.89,zustand web frontend general advanced,zustand web frontend general advance
SK_00037,looker,data,general,advanced,,7.9,looker data general advanced,looker data general advance
SK_00038,next.js,web frontend,general,advanced,,6.82,next.js web frontend general advanced,next.js web frontend general advance
SK_00039,oauth,security,general,advanced,,6.27,oauth security general advanced,oauth security general advance
SK_00040,infrastructure as code,cloud & infrastructure,general,advanced,,6.42,infrastructure as code cloud & infrastructure general advanced,infrastructure code cloud infrastructure general advance
SK_00041,devops,devops,general,advanced,,6.45,devops devops general advanced,devops devops general advance
SK_00042,grafana,devops,general,advanced,,6.94,grafana devops general advanced,grafana devops general advance
SK_00043,responsive design,web frontend,general,advanced,,7.93,responsive design web frontend general advanced,responsive design web frontend general advance
SK_00044,flask,web backend,general,advanced,,6.81,flask web backend general advanced,flask web backend general advance
SK_00045,model evaluation,ai/ml,general,advanced,,7.31,model evaluation ai/ml general advanced,model evaluation ai ml general advance
SK_00046,session management,web backend,general,advanced,,7.46,session management web backend general advanced,session management web backend general advance
SK_00047,ci/cd,cloud & infrastructure,general,advanced,,7.14,ci/cd cloud & infrastructure general advanced,ci cd cloud infrastructure general advance
SK_00048,owasp,security,general,advanced,,6.95,owasp security general advanced,owasp security general advance
SK_00049,elk stack,devops,general,advanced,,7.4,elk stack devops general advanced,elk stack devops general advance
SK_00050,probability,ai/ml,general,advanced,,7.29,probability ai/ml general advanced,probability ai ml general advance
SK_00051,firewalls,security,general,advanced,,7.32,firewalls security general advanced,firewall security general advance
SK_00052,fastapi,web backend,general,advanced,,7.65,fastapi web backend general advanced,fastapi web backend general advance
SK_00053,terraform,cloud & infrastructure,general,advanced,,6.2,terraform cloud & infrastructure general advanced,terraform cloud infrastructure general advance
SK_00054,statistics,ai/ml,general,advanced,,6.44,statistics ai/ml general advanced,statistic ai ml general advance
SK_00055,load balancing,cloud & infrastructure,general,advanced,,6.92,load balancing cloud & infrastructure general advanced,load balance cloud infrastructure general advance
SK_00056,auto scaling,cloud & infrastructure,general,advanced,,6.35,auto scaling cloud & infrastructure general advanced,auto scaling cloud infrastructure general advance
SK_00057,sre,devops,general,advanced,,6.42,sre devops general advanced,sre devops general advance
SK_00058,container orchestration,devops,general,advanced,,7.25,container orchestration devops general advanced,container orchestration devop general advance
SK_00059,tailwind css,web frontend,general,advanced,,6.63,tailwind css web frontend general advanced,tailwind css web frontend general advance
SK_00060,incident response,security,general,advanced,,7.93,incident response security general advanced,incident response security general advance
SK_00061,react testing library,web frontend,general,intermediate,,9.93,react testing library web frontend general intermediate,react testing library web frontend general intermediate
SK_00062,data pipeline,data,general,advanced,,7.47,data pipeline data general advanced,data pipeline datum general advance
SK_00063,node.js,web backend,general,advanced,,6.28,node.js web backend general advanced,node.js web backend general advance
SK_00064,power bi,data,general,advanced,,7.22,power bi data general advanced,power bi data general advance
SK_00065,computer vision,ai/ml,general,advanced,,6.22,computer vision ai/ml general advanced,computer vision ai ml general advance
SK_00066,logging,cloud & infrastructure,general,advanced,,7.01,logging cloud & infrastructure general advanced,log cloud infrastructure general advance
SK_00067,webpack,web frontend,general,advanced,,6.11,webpack web frontend general advanced,webpack web frontend general advance
SK_00068,google cloud platform,web backend,general,advanced,,6.34,google cloud platform web backend general advanced,google cloud platform web backend general advance
SK_00069,javascript,web frontend,general,advanced,,9.39,javascript web frontend general advanced,javascript web frontend general advance
SK_00070,agile/scrum,soft skills,general,advanced,,7.6,agile/scrum soft skills general advanced,agile scrum soft skill general advanced
SK_00071,neural networks,ai/ml,general,advanced,,7.36,neural networks ai/ml general advanced,neural networks ai ml general advance
SK_00072,transformers,ai/ml,general,advanced,,6.71,transformers ai/ml general advanced,transformer ai ml general advance
SK_00073,django,web backend,general,advanced,,7.9,django web backend general advanced,django web backend general advance
SK_00074,ssl/tls,security,general,advanced,,7.91,ssl/tls security general advanced,ssl tls security general advance
SK_00075,project management,soft skills,general,advanced,,7.25,project management soft skills general advanced,project management soft skill general advanced
SK_00076,jwt,security,general,advanced,,6.41,jwt security general advanced,jwt security general advance
SK_00077,rust,web backend,general,advanced,,7.64,rust web backend general advanced,rust web backend general advance
SK_00078,bert,ai/ml,general,advanced,,6.61,bert ai/ml general advanced,bert ai ml general advance
SK_00079,go,web backend,general,advanced,,7.04,go web backend general advanced,go web backend general advance
SK_00080,machine learning,ai/ml,general,advanced,,7.84,machine learning ai/ml general advanced,machine learning ai ml general advance
SK_00081,material ui,web frontend,general,advanced,,6.28,material ui web frontend general advanced,material ui web frontend general advance
