skill_id,skill_name,category,subcategory,difficulty,related_skills,demand_score
SK_00001,Cryptography,Security,General,Advanced,,6.34
SK_00002,ISO 27001,Security,General,Advanced,,6.18
SK_00003,Authorization,Web Backend,General,Advanced,,6.04
SK_00004,GitLab CI,Cloud & Infrastructure,General,Beginner,,7.0
SK_00005,React,Web Frontend,General,Intermediate,,9.19
SK_00006,NLP,AI/ML,General,Advanced,,7.06
SK_00007,Database Management,Cloud & Infrastructure,General,Advanced,,6.51
SK_00008,Apache Flink,Data,General,Advanced,,7.78
SK_00009,PyTorch,AI/ML,General,Advanced,,7.88
SK_00010,Performance Optimization,Web Frontend,General,Advanced,,6.01
SK_00011,Docker,Cloud & Infrastructure,General,Advanced,,8.67
SK_00012,Adaptability,Soft Skills,General,Advanced,,6.91
SK_00013,Microservices,Web Backend,General,Advanced,,7.02
SK_00014,Team Collaboration,Soft Skills,General,Advanced,,6.14
SK_00015,Stream Processing,Data,General,Advanced,,7.82
SK_00016,Observability,Cloud & Infrastructure,General,Advanced,,7.2
SK_00017,Security Compliance,Security,General,Advanced,,6.63
SK_00018,Mentoring,Soft Skills,General,Advanced,,6.5
SK_00019,TensorFlow,AI/ML,General,Advanced,,9.5
SK_00020,Hadoop,Data,General,Advanced,,6.8
SK_00021,Angular,Web Frontend,General,Advanced,,7.73
SK_00022,Monitoring,Cloud & Infrastructure,General,Advanced,,7.66
SK_00023,Express,Web Backend,General,Advanced,,6.22
SK_00024,Vite,Web Frontend,General,Advanced,,7.96
SK_00025,Service Mesh,DevOps,General,Advanced,,6.43
SK_00026,Kubernetes,Cloud & Infrastructure,General,Advanced,,9.42
SK_00027,Communication,Soft Skills,General,Advanced,,7.46
SK_00028,Deep Learning,AI/ML,General,Advanced,,6.94
SK_00029,Authentication,Web Backend,General,Advanced,,7.27
SK_00030,Elasticsearch,Web Backend,General,Advanced,,6.49
SK_00031,Security Architecture,Security,General,Advanced,,7.59
SK_00032,Linux,DevOps,General,Advanced,,6.48
SK_00033,MySQL,Web Backend,General,Intermediate,,6.55
SK_00034,Web Accessibility,Web Frontend,General,Advanced,,6.05
SK_00035,LLM,AI/ML,General,Advanced,,6.42
SK_00036,Zustand,Web Frontend,General,Advanced,,7.89
SK_00037,Looker,Data,General,Advanced,,7.9
SK_00038,Next.js,Web Frontend,General,Advanced,,6.82
SK_00039,OAuth,Security,General,Advanced,,6.27
SK_00040,Infrastructure as Code,Cloud & Infrastructure,General,Advanced,,6.42
SK_00041,DevOps,DevOps,General,Advanced,,6.45
SK_00042,Grafana,DevOps,General,Advanced,,6.94
SK_00043,Responsive Design,Web Frontend,General,Advanced,,7.93
SK_00044,Flask,Web Backend,General,Advanced,,6.81
SK_00045,Model Evaluation,AI/ML,General,Advanced,,7.31
SK_00046,Session Management,Web Backend,General,Advanced,,7.46
SK_00047,CI/CD,Cloud & Infrastructure,General,Advanced,,7.14
SK_00048,OWASP,Security,General,Advanced,,6.95
SK_00049,ELK Stack,DevOps,General,Advanced,,7.4
SK_00050,Probability,AI/ML,General,Advanced,,7.29
SK_00051,Firewalls,Security,General,Advanced,,7.32
SK_00052,FastAPI,Web Backend,General,Advanced,,7.65
