job_id,job_title,field,industry,experience_level,education_required,required_skills,preferred_skills,job_type,location,salary_min,salary_max,remote_option,description,education_standardized,experience_years_proxy,experience_score,education_score,combined_job_text,job_tokens_lemmas
JOB_00001,senior qa engineer,senior,telecommunications,lead,bachelor,data pipeline;infrastructure as code;redis;apache flink;monitoring tools,neural networks;angular;python,contract,"seattle, usa",52500,105000,remote,seeking senior qa engineer with skills: data pipeline;infrastructure a,bachelor,12,0.8,0.7,"senior qa engineer senior telecommunications lead bachelor data pipeline;infrastructure as code;redis;apache flink;monitoring tools neural networks;angular;python contract seattle, usa remote seeking senior qa engineer with skills: data pipeline;infrastructure a",senior qa engineer senior telecommunication lead bachelor datum pipeline;infrastructure code;redis;apache flink;monitoring tool neural networks;angular;python contract seattle usa remote seek senior qa engineer skill datum pipeline;infrastructure
JOB_00002,engineering manager,engineering,technology,mid-level,any,statistics;service mesh;performance optimization;security compliance;transformers,observability;statistics;performance optimization,contract,"multan, pakistan",5000,10000,remote,seeking engineering manager with skills: statistics;service mesh;perfor,any,4,0.2667,0.4,"engineering manager engineering technology mid-level any statistics;service mesh;performance optimization;security compliance;transformers observability;statistics;performance optimization contract multan, pakistan remote seeking engineering manager with skills: statistics;service mesh;perfor",engineering manager engineering technology mid level statistics;service mesh;performance optimization;security compliance;transformer observability;statistics;performance optimization contract multan pakistan remote seek engineering manager skill statistics;service mesh;perfor
JOB_00003,ai/ml architect,ai/ml,healthcare,mid-level,bachelor,web accessibility;computer vision;devops;hadoop;redux,container orchestration;graphql;fastapi,contract,"dubai, uae",5000,10000,remote,seeking ai/ml architect with skills: web accessibility;computer vis,bachelor,4,0.2667,0.7,"ai/ml architect ai/ml healthcare mid-level bachelor web accessibility;computer vision;devops;hadoop;redux container orchestration;graphql;fastapi contract dubai, uae remote seeking ai/ml architect with skills: web accessibility;computer vis",ai ml architect ai ml healthcare mid level bachelor web accessibility;computer vision;devops;hadoop;redux container orchestration;graphql;fastapi contract dubai uae remote seek ai ml architect skill web accessibility;computer vis
JOB_00004,vp of engineering,vp,e-commerce,junior,bachelor,soc 2;authorization;cloud security;nuxt.js;firewalls,apache spark;penetration testing;data warehouse,contract,"portland, usa",7000,17500,remote,seeking vp of engineering with skills: soc 2;authorization;cloud secu,bachelor,1,0.0667,0.7,"vp of engineering vp e-commerce junior bachelor soc 2;authorization;cloud security;nuxt.js;firewalls apache spark;penetration testing;data warehouse contract portland, usa remote seeking vp of engineering with skills: soc 2;authorization;cloud secu",vp engineering vp e commerce junior bachelor soc 2;authorization;cloud security;nuxt.js;firewalls apache spark;penetration testing;data warehouse contract portland usa remote seeking vp engineering skill soc 2;authorization;cloud secu
JOB_00005,technical lead,technical,fintech,senior,bachelor,data pipeline;infrastructure as code;negotiation;express;mysql,negotiation;cryptography;angular,full-time,"manchester, uk",25000,50000,on-site,seeking technical lead with skills: data pipeline;infrastructure a,bachelor,8,0.5333,0.7,"technical lead technical fintech senior bachelor data pipeline;infrastructure as code;negotiation;express;mysql negotiation;cryptography;angular full-time manchester, uk on-site seeking technical lead with skills: data pipeline;infrastructure a",technical lead technical fintech senior bachelor datum pipeline;infrastructure code;negotiation;express;mysql negotiation;cryptography;angular full time manchester uk site seek technical lead skill datum pipeline;infrastructure
JOB_00006,nlp engineer,nlp,edtech,junior,bachelor,prometheus;pytorch;agile;scrum;iso 27001;web accessibility,logging;firewalls;grafana,hybrid,"vancouver, canada",5000,12500,remote,seeking nlp engineer with skills: prometheus;pytorch;agile/scrum,bachelor,1,0.0667,0.7,"nlp engineer nlp edtech junior bachelor prometheus;pytorch;agile;scrum;iso 27001;web accessibility logging;firewalls;grafana hybrid vancouver, canada remote seeking nlp engineer with skills: prometheus;pytorch;agile/scrum",nlp engineer nlp edtech junior bachelor prometheus;pytorch;agile;scrum;iso 27001;web accessibility logging;firewalls;grafana hybrid vancouver canada remote seek nlp engineer skill prometheus;pytorch;agile scrum
JOB_00007,infrastructure engineer,infrastructure,saas,senior,any,bash;oauth;etl;machine learning;prometheus,nlp;pytorch;infrastructure automation,full-time,hong kong,10000,20000,hybrid,seeking infrastructure engineer with skills: bash;oauth;etl;machine learnin,any,8,0.5333,0.4,infrastructure engineer infrastructure saas senior any bash;oauth;etl;machine learning;prometheus nlp;pytorch;infrastructure automation full-time hong kong hybrid seeking infrastructure engineer with skills: bash;oauth;etl;machine learnin,infrastructure engineer infrastructure saas senior bash;oauth;etl;machine learning;prometheus nlp;pytorch;infrastructure automation full time hong kong hybrid seek infrastructure engineer skill bash;oauth;etl;machine learnin
JOB_00008,mobile engineer,mobile,fintech,lead,master,apache spark;agile;scrum;grafana;github actions;critical thinking,infrastructure automation;database management;vite,full-time,"islamabad, pakistan",15000,30000,hybrid,seeking mobile engineer with skills: apache spark;agile/scrum;grafa,master,12,0.8,0.85,"mobile engineer mobile fintech lead master apache spark;agile;scrum;grafana;github actions;critical thinking infrastructure automation;database management;vite full-time islamabad, pakistan hybrid seeking mobile engineer with skills: apache spark;agile/scrum;grafa",mobile engineer mobile fintech lead master apache spark;agile;scrum;grafana;github actions;critical thinking infrastructure automation;database management;vite full time islamabad pakistan hybrid seek mobile engineer skill apache spark;agile scrum;grafa
JOB_00009,kubernetes engineer,kubernetes,media,junior,bachelor,cryptography;data visualization;probability;linux;security architecture,infrastructure automation;angular;vite,hybrid,"sydney, australia",2000,5000,on-site,seeking kubernetes engineer with skills: cryptography;data visualizatio,bachelor,1,0.0667,0.7,"kubernetes engineer kubernetes media junior bachelor cryptography;data visualization;probability;linux;security architecture infrastructure automation;angular;vite hybrid sydney, australia on-site seeking kubernetes engineer with skills: cryptography;data visualizatio",kubernete engineer kubernete medium junior bachelor cryptography;data visualization;probability;linux;security architecture infrastructure automation;angular;vite hybrid sydney australia site seek kubernete engineer skill cryptography;data visualizatio
JOB_00010,node.js developer,node.js,finance,senior,any,deep learning;nlp;presto;data science;mysql,sre;linux;api gateway,hybrid,"sydney, australia",10000,20000,remote,seeking node.js developer with skills: deep learning;nlp;presto;data,any,8,0.5333,0.4,"node.js developer node.js finance senior any deep learning;nlp;presto;data science;mysql sre;linux;api gateway hybrid sydney, australia remote seeking node.js developer with skills: deep learning;nlp;presto;data",node.js developer node.js finance senior deep learning;nlp;presto;data science;mysql sre;linux;api gateway hybrid sydney australia remote seek node.js developer skill deep learning;nlp;presto;data
JOB_00011,senior qa engineer,senior,saas,junior,master,flask;authorization;java;problem solving;iso 27001,mentoring;container orchestration;message queues,full-time,"boston, usa",7000,17500,remote,seeking senior qa engineer with skills: flask;authorization;java;probl,master,1,0.0667,0.85,"senior qa engineer senior saas junior master flask;authorization;java;problem solving;iso 27001 mentoring;container orchestration;message queues full-time boston, usa remote seeking senior qa engineer with skills: flask;authorization;java;probl",senior qa engineer senior saas junior master flask;authorization;java;problem solving;iso 27001 mentoring;container orchestration;message queue full time boston usa remote seek senior qa engineer skill flask;authorization;java;probl
JOB_00012,engineering manager,engineering,healthcare,lead,any,docker;iso 27001;tableau;cost optimization;go,llm;django;html;css,hybrid,"multan, pakistan",15000,30000,remote,seeking engineering manager with skills: docker;iso 27001;tableau;cost,any,12,0.8,0.4,"engineering manager engineering healthcare lead any docker;iso 27001;tableau;cost optimization;go llm;django;html;css hybrid multan, pakistan remote seeking engineering manager with skills: docker;iso 27001;tableau;cost",engineering manager engineering healthcare lead docker;iso 27001;tableau;cost optimization;go llm;django;html;css hybrid multan pakistan remote seek engineering manager skill docker;iso 27001;tableau;cost
JOB_00013,games engineer,games,transportation,mid-level,any,web accessibility;monitoring tools;big data;material ui;data science,java;database management;nlp,hybrid,"berlin, germany",12500,25000,hybrid,seeking games engineer with skills: web accessibility;monitoring t,any,4,0.2667,0.4,"games engineer games transportation mid-level any web accessibility;monitoring tools;big data;material ui;data science java;database management;nlp hybrid berlin, germany hybrid seeking games engineer with skills: web accessibility;monitoring t",games engineer games transportation mid level web accessibility;monitore tools;big data;material ui;data science java;database management;nlp hybrid berlin germany hybrid seeking game engineer skill web accessibility;monitore
JOB_00014,senior qa engineer,senior,automotive,mid-level,master,keras;monitoring tools;next.js;logging;statistics,react testing library;jest;pytorch,full-time,"vancouver, canada",12500,25000,remote,seeking senior qa engineer with skills: keras;monitoring tools;next.js,master,4,0.2667,0.85,"senior qa engineer senior automotive mid-level master keras;monitoring tools;next.js;logging;statistics react testing library;jest;pytorch full-time vancouver, canada remote seeking senior qa engineer with skills: keras;monitoring tools;next.js",senior qa engineer senior automotive mid level master keras;monitoring tools;next.js;logging;statistic react test library;jest;pytorch full time vancouver canada remote seek senior qa engineer skill keras;monitore tools;next.js
