job_description,is_spam
"We are seeking a highly motivated Full Stack Developer. You will be responsible for developing user interfaces using React and maintaining a robust Node.js backend. 2 years experience required.",0
"Make $5000 a week working from home! No experience needed, just send us your bank account routing number so we can deposit your first paycheck today!",1
"Join our infrastructure team to help scale our enterprise applications. You will be responsible for designing CI/CD pipelines and containerizing microservices using Docker and AWS.",0
"URGENT HIRE!!! Wire transfer specialist needed immediately. Keep 20% of all transactions you process. Work 1 hour a day. Click this link to pay your $50 onboarding fee.",1
"Looking for a Machine Learning Scientist to lead predictive modeling. Must have deep expertise in Python, PyTorch, TensorFlow, and Pandas.",0
"Data entry clerk needed. Earn $1000 daily typing simple captchas. You must purchase our $200 starter software kit before you begin. Guaranteed returns!",1
"Product Manager needed for a fast-growing FinTech startup. You will lead cross-functional teams, manage the product roadmap, and report directly to the CEO.",0
"Be your own boss! Sell our luxury herbal supplements and recruit 5 friends to do the same. If you pay the $500 tier-one fee, you will be a millionaire in 6 months.",1
"Senior UI/UX Designer required. Strong portfolio demonstrating web and mobile app design, proficiency in Figma and Adobe Creative Suite.",0
"Your resume has been selected! Please reply with your Social Security Number, home address, and a photo of your ID so we can send you a Macbook Pro.",1
