mapping_id,job_title,skill_name,importance_weight,required_level
MAP_00001,Senior QA Engineer,Data Pipeline,0.64,Intermediate
MAP_00002,Senior QA Engineer,Infrastructure as Code,0.86,Beginner
MAP_00003,Senior QA Engineer,Redis,0.92,Beginner
MAP_00004,Engineering Manager,Statistics,0.89,Advanced
MAP_00005,Engineering Manager,Service Mesh,0.7,Beginner
MAP_00006,AI/ML Architect,Web Accessibility,0.95,Advanced
MAP_00007,AI/ML Architect,Computer Vision,0.8,Beginner
MAP_00008,AI/ML Architect,DevOps,0.98,Advanced
MAP_00009,AI/ML Architect,Hadoop,0.98,Advanced
MAP_00010,VP of Engineering,SOC 2,0.78,Intermediate
MAP_00011,VP of Engineering,Authorization,0.69,Intermediate
MAP_00012,VP of Engineering,Cloud Security,0.74,Advanced
MAP_00013,VP of Engineering,Nuxt.js,0.78,Advanced
MAP_00014,Technical Lead,Data Pipeline,0.63,Intermediate
MAP_00015,Technical Lead,Infrastructure as Code,0.92,Beginner
MAP_00016,Technical Lead,Negotiation,0.95,Intermediate
MAP_00017,Technical Lead,Express,0.67,Intermediate
MAP_00018,NLP Engineer,Prometheus,0.9,Beginner
MAP_00019,NLP Engineer,PyTorch,0.64,Beginner
MAP_00020,NLP Engineer,Agile/Scrum,0.95,Beginner
MAP_00021,NLP Engineer,ISO 27001,0.72,Advanced
MAP_00022,Infrastructure Engineer,Bash,0.62,Intermediate
MAP_00023,Infrastructure Engineer,OAuth,0.82,Beginner
MAP_00024,Infrastructure Engineer,ETL,0.6,Beginner
MAP_00025,Mobile Engineer,Apache Spark,0.7,Beginner
MAP_00026,Mobile Engineer,Agile/Scrum,0.7,Intermediate
MAP_00027,Mobile Engineer,Grafana,0.9,Intermediate
MAP_00028,Mobile Engineer,GitHub Actions,0.81,Intermediate
MAP_00029,Kubernetes Engineer,Cryptography,0.94,Intermediate
MAP_00030,Kubernetes Engineer,Data Visualization,0.97,Intermediate
MAP_00031,Node.js Developer,Deep Learning,0.98,Intermediate
MAP_00032,Node.js Developer,NLP,0.83,Intermediate
MAP_00033,Node.js Developer,Presto,0.83,Intermediate
MAP_00034,Senior QA Engineer,Flask,0.85,Advanced
MAP_00035,Senior QA Engineer,Authorization,0.91,Intermediate
MAP_00036,Engineering Manager,Docker,0.7,Beginner
MAP_00037,Engineering Manager,ISO 27001,0.78,Advanced
MAP_00038,Engineering Manager,Tableau,0.71,Advanced
MAP_00039,Engineering Manager,Cost Optimization,0.97,Beginner
MAP_00040,Games Engineer,Web Accessibility,0.99,Beginner
MAP_00041,Games Engineer,Monitoring Tools,0.95,Intermediate
MAP_00042,Games Engineer,Big Data,0.73,Intermediate
MAP_00043,Senior QA Engineer,Keras,0.76,Beginner
MAP_00044,Senior QA Engineer,Monitoring Tools,0.93,Beginner
MAP_00045,Senior QA Engineer,Next.js,0.98,Intermediate
MAP_00046,AWS Solutions Architect,GitHub Actions,0.78,Advanced
MAP_00047,AWS Solutions Architect,RESTful APIs,0.84,Intermediate
MAP_00048,TypeScript Developer,Redux,0.93,Advanced
MAP_00049,TypeScript Developer,MongoDB,0.67,Intermediate
MAP_00050,Technical Lead,Communication,0.73,Beginner
MAP_00051,Technical Lead,Redis,0.89,Intermediate
MAP_00052,Data Architect,Cost Optimization,0.61,Beginner
MAP_00053,Data Architect,ISO 27001,0.62,Intermediate
MAP_00054,Incident Response Engineer,Time Management,0.81,Intermediate
