job_id,job_title,field,industry,experience_level,education_required,required_skills,preferred_skills,job_type,location,salary_min,salary_max,remote_option,description
JOB_00001,Senior QA Engineer,Senior,Telecommunications,Lead,Bachelor,Data Pipeline;Infrastructure as Code;Redis;Apache Flink;Monitoring Tools,Neural Networks;Angular;Python,Contract,"Seattle, USA",52500,105000,Remote,Seeking Senior QA Engineer with skills: Data Pipeline;Infrastructure a
JOB_00002,Engineering Manager,Engineering,Technology,Mid-level,Any,Statistics;Service Mesh;Performance Optimization;Security Compliance;Transformers,Observability;Statistics;Performance Optimization,Contract,"Multan, Pakistan",5000,10000,Remote,Seeking Engineering Manager with skills: Statistics;Service Mesh;Perfor
JOB_00003,AI/ML Architect,AI/ML,Healthcare,Mid-level,Bachelor,Web Accessibility;Computer Vision;DevOps;Hadoop;Redux,Container Orchestration;GraphQL;FastAPI,Contract,"Dubai, UAE",5000,10000,Remote,Seeking AI/ML Architect with skills: Web Accessibility;Computer Vis
JOB_00004,VP of Engineering,VP,E-commerce,Junior,Bachelor,SOC 2;Authorization;Cloud Security;Nuxt.js;Firewalls,Apache Spark;Penetration Testing;Data Warehouse,Contract,"Portland, USA",7000,17500,Remote,Seeking VP of Engineering with skills: SOC 2;Authorization;Cloud Secu
JOB_00005,Technical Lead,Technical,Fintech,Senior,Bachelor,Data Pipeline;Infrastructure as Code;Negotiation;Express;MySQL,Negotiation;Cryptography;Angular,Full-time,"Manchester, UK",25000,50000,On-site,Seeking Technical Lead with skills: Data Pipeline;Infrastructure a
JOB_00006,NLP Engineer,NLP,EdTech,Junior,Bachelor,Prometheus;PyTorch;Agile/Scrum;ISO 27001;Web Accessibility,Logging;Firewalls;Grafana,Hybrid,"Vancouver, Canada",5000,12500,Remote,Seeking NLP Engineer with skills: Prometheus;PyTorch;Agile/Scrum
JOB_00007,Infrastructure Engineer,Infrastructure,SaaS,Senior,Any,Bash;OAuth;ETL;Machine Learning;Prometheus,NLP;PyTorch;Infrastructure Automation,Full-time,Hong Kong,10000,20000,Hybrid,Seeking Infrastructure Engineer with skills: Bash;OAuth;ETL;Machine Learnin
JOB_00008,Mobile Engineer,Mobile,Fintech,Lead,Master,Apache Spark;Agile/Scrum;Grafana;GitHub Actions;Critical Thinking,Infrastructure Automation;Database Management;Vite,Full-time,"Islamabad, Pakistan",15000,30000,Hybrid,Seeking Mobile Engineer with skills: Apache Spark;Agile/Scrum;Grafa
JOB_00009,Kubernetes Engineer,Kubernetes,Media,Junior,Bachelor,Cryptography;Data Visualization;Probability;Linux;Security Architecture,Infrastructure Automation;Angular;Vite,Hybrid,"Sydney, Australia",2000,5000,On-site,Seeking Kubernetes Engineer with skills: Cryptography;Data Visualizatio
JOB_00010,Node.js Developer,Node.js,Finance,Senior,Any,Deep Learning;NLP;Presto;Data Science;MySQL,SRE;Linux;API Gateway,Hybrid,"Sydney, Australia",10000,20000,Remote,Seeking Node.js Developer with skills: Deep Learning;NLP;Presto;Data 
