education_id,degree_name,field,level,specialization
ED_00001,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00002,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00003,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00004,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00005,Master of Business Administration,Business,Master,General
ED_00006,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00007,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00008,Master of Business Administration,Business,Master,General
ED_00009,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00010,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00011,AWS Certified Developer,Cloud,Certification,AWS
ED_00012,AWS Certified Developer,Cloud,Certification,AWS
ED_00013,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00014,AWS Certified Developer,Cloud,Certification,AWS
ED_00015,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00016,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00017,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00018,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00019,Certified Ethical Hacker,Security,Certification,Security
ED_00020,AWS Certified Developer,Cloud,Certification,AWS
ED_00021,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00022,AWS Certified Developer,Cloud,Certification,AWS
ED_00023,Master of Business Administration,Business,Master,General
ED_00024,Master of Business Administration,Business,Master,General
ED_00025,CompTIA Security+,Security,Certification,Security
ED_00026,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00027,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00028,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00029,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00030,AWS Certified Developer,Cloud,Certification,AWS
ED_00031,AWS Certified Developer,Cloud,Certification,AWS
ED_00032,Master of Science in Data Science,Data Science,Master,General
ED_00033,AWS Certified Developer,Cloud,Certification,AWS
ED_00034,PhD in Computer Science,Computer Science,PhD,General
ED_00035,Master of Science in Data Science,Data Science,Master,General
ED_00036,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00037,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00038,PhD in Computer Science,Computer Science,PhD,General
ED_00039,AWS Certified Developer,Cloud,Certification,AWS
ED_00040,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00041,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00042,AWS Certified Developer,Cloud,Certification,AWS
ED_00043,AWS Certified Developer,Cloud,Certification,AWS
ED_00044,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00045,Master of Science in Data Science,Data Science,Master,General
ED_00046,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00047,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00048,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00049,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00050,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00051,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00052,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00053,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00054,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00055,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00056,Master of Science in Data Science,Data Science,Master,General
ED_00057,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00058,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00059,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00060,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00061,Certified Ethical Hacker,Security,Certification,Security
ED_00062,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00063,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00064,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00065,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
